,lane_Connection_id,upstream_lane_id,downstream_lane_id,node_id,lane_connnection_geometry
0,353,340_-1__3,326_-1__2,9703,"LINESTRING(114.04570320666141 22.53209884478612 2.7011717673983355,114.04579147835585 22.531997414716955 2.7011718792160906)"
1,353,340_-1__2,326_-1__1,9703,"LINESTRING(114.04572502048845 22.532123099224414 2.7011717673983355,114.04582204617498 22.532011332100552 2.7011718792160906)"
2,357,333_-1__2,340_1__3,9703,"LINESTRING(114.04588558376177 22.532072212676947 2.701171874943924,114.04576871746383 22.53217155320335 2.7011717722112056)"
3,552,531_-1__2,543_1__3,9706,"LINESTRING(114.04581711868249 22.53076321589503 2.748046625674476,114.04577563111975 22.530696969112682 2.7480469312494815)"
4,552,531_-1__1,543_1__2,9706,"LINESTRING(114.04584784862827 22.53074963389726 2.748046625674476,114.04580109842188 22.530669677976405 2.7480469312494815)"
5,556,543_-1__3,537_-1__2,9706,"LINESTRING(114.04584173138166 22.53062613298591 2.7480469291773204,114.04591846008219 22.53069671059645 2.746093745371639)"
6,556,543_-1__2,537_-1__1,9706,"LINESTRING(114.04582337728883 22.530645792424664 2.7480469291773204,114.04589546636385 22.530718465923286 2.746093745371639)"
7,661,646_-1__2,652_-1__3,9709,"LINESTRING(114.04332078510154 22.531813358755894 2.5566406464996874,114.0434028481708 22.531929760268213 2.5644531228506198)"
8,661,646_-1__1,652_-1__2,9709,"LINESTRING(114.04328778103061 22.531821108900196 2.5566406464996874,114.04337726604616 22.53195059422519 2.5644531228506198)"
9,665,652_1__3,640_-1__2,9709,"LINESTRING(114.043311755509 22.532003654793964 2.5644531229863787,114.0431990011933 22.531865758038364 2.5566406250197073)"
10,665,652_1__2,640_-1__1,9709,"LINESTRING(114.04333734706996 22.531982828305456 2.5644531229863787,114.04322493684883 22.53184530258246 2.5566406250197073)"
11,690,669_-1__3,678_-1__2,9712,"LINESTRING(114.04351250956479 22.53055190417053 2.4980466346618186,114.0434097480902 22.530661586433467 2.4980468738974935)"
12,690,669_-1__2,678_-1__1,9712,"LINESTRING(114.04349255752268 22.530526304727612 2.4980466346618186,114.04337962109688 22.53064686497173 2.4980468738974935)"
13,694,684_-1__2,669_1__3,9712,"LINESTRING(114.04329815950882 22.530572998667214 2.501953109393014,114.04344683907824 22.53046787211363 2.498046635518627)"
14,694,684_-1__1,669_1__2,9712,"LINESTRING(114.0433189671804 22.53059800491906 2.501953109393014,114.04346679701533 22.530493465706076 2.498046635518627)"
15,991,983_-1__2,711_1__6,9715,"LINESTRING(114.04417248494337 22.543698522981312 0.0003469393850537017,114.0442313282887 22.543553479892367 6.522025197034081e-05)"
16,1014,711_-1__6,1006_-1__2,9717,"LINESTRING(114.04449679536074 22.543559451826958 6.520577699120622e-05,114.04452134414366 22.543637434679166 3.500553124723596e-05,114.04458163932607 22.543697886872884 2.4908570337120765e-06)"
17,1097,1046_-1__2,124_1__6,9720,"LINESTRING(114.04419222063267 22.540108286675853 -7.936281912179766e-05,114.04424857376068 22.540033326518586 -2.3757090493941154e-05,114.04428811813648 22.5399384035651 4.960837321438979e-05)"
18,1112,711_-1__5,1115_-1__1,9717,"LINESTRING(114.04446277967911 22.54355866397476 6.520145376498476e-05,114.04449446899436 22.543674242483583 1.7239444077892103e-05)"
19,1115,1112_-1__1,1006_-1__1,9717,"LINESTRING(114.0444944689895 22.54367424248591 1.7239444105143775e-05,114.04455347613636 22.543736383782658 -1.4840003311468267e-05)"
20,1241,282_-1__7,543_1__3,9721,"LINESTRING(114.044875726389 22.53024015362895 0.0,114.0448810809609 22.530317587974757 8.083636348368879,114.04491160895594 22.53039537387902 8.04862769629606,114.04503661755152 22.53048190193244 6.188708598305807)"
21,1244,543_1__3,385_-1__7,9721,"LINESTRING(114.04503816769761 22.530575770870765 0.0,114.0449508369802 22.53059327955425 8.143307390571067,114.04487174688397 22.530636164236785 8.211585445512917,114.04479395317337 22.530755473218125 10.06464043507756)"
22,1247,543_1__3,385_-1__8,9721,"LINESTRING(114.04503816767618 22.530575769574565 0.0,114.04495421389447 22.53059742905991 8.148749110040548,114.04488316795353 22.530649412953522 8.23297605503371,114.04482785533904 22.530758138616804 9.195088298196943)"
23,1258,2_-1__8,340_-1__3,9724,"LINESTRING(114.04474204620526 22.53200203641655 7.9960953253922895,114.04475841360407 22.532063120811266 7.993893804441967,114.04481217305623 22.532118088093835 7.990696250446018,114.04494041382847 22.532165523578172 7.986001608184032)"
24,1258,2_-1__7,340_-1__3,9724,"LINESTRING(114.04470804675366 22.532000840576096 7.9960953253922895,114.04473125173335 22.532078208813704 7.993893804441967,114.04479171597008 22.53214152994433 7.990696250446018,114.0449399249875 22.532197125223977 7.986001608184032)"
25,1262,340_-1__3,307_-1__8,9724,"LINESTRING(114.04493894672663 22.532260329848448 7.986001877155161,114.04485583725395 22.532283134780403 7.986723912437682,114.04478796222699 22.53233975645408 7.987764521056879,114.04473605089417 22.532462208782785 7.989098777837592)"
26,3483,3380_-1__3,3362_-1__3,9726,"LINESTRING(114.0506789658381 22.549293347768767 1.184616849059239e-09,114.05077627627124 22.54929477532184 9.780646633870814e-10,114.05087353442197 22.54929613692827 6.819468377367364e-10,114.05097073582694 22.549297488605944 3.298190514536224e-10,114.0510678756245 22.549298878787734 -4.476301611684251e-11,114.05116495390091 22.549300181816285 -4.082436856292397e-10,114.05126197112081 22.549301288682923 -7.270672777381519e-10,114.05139171850414 22.549302324491116 -1.0254552762525186e-09)"
27,3483,3380_-1__2,3362_-1__2,9726,"LINESTRING(114.05067835354058 22.549322239147273 1.184616849059239e-09,114.05077558859244 22.54932400574154 9.780646633870814e-10,114.05087280457239 22.549325858820616 6.819468377367364e-10,114.05097000157814 22.54932772642135 3.298190514536224e-10,114.05106717951664 22.549329536640695 -4.476301611684251e-11,114.05116433914041 22.54933118993785 -4.082436856292397e-10,114.05126148159268 22.549332582382785 -7.270672777381519e-10,114.05139146599493 22.549333859794448 -1.0254552762525186e-09)"
28,3487,2506_1__5,3380_1__3,9726,"LINESTRING(114.05094321572302 22.549631149612868 8.704660103830975e-09,114.05092361073349 22.549550537678577 7.212800441732456e-09,114.05087297047918 22.549479251415907 5.01653613778881e-09,114.05080288857567 22.54942304508418 2.685147597613512e-09,114.05067707153134 22.54938273096537 2.0361288687581548e-10)"
29,3490,3362_1__3,3380_1__3,9726,"LINESTRING(114.05139091372392 22.549402831623148 -2.7197302188142203e-09,114.05129342503183 22.54940032316736 -2.4730938461401277e-09,114.05119601554708 22.549397731691062 -2.1195124279421944e-09,114.05109868199176 22.549394808098377 -1.6990501303465295e-09,114.05100141099041 22.54939196375929 -1.2517711194792422e-09,114.05090420363577 22.54938898146088 -8.177395614664406e-10,114.05080705346394 22.549386026738404 -4.3701962243423493e-10,114.05067707153141 22.549382730965394 -8.060396794058209e-11)"
30,3490,3362_1__2,3380_1__2,9726,"LINESTRING(114.05139118208913 22.54936931613289 -2.7197302188142203e-09,114.0512938770229 22.54936771235892 -2.4730938461401277e-09,114.05119660236703 22.54936589782196 -2.1195124279421944e-09,114.05109935679344 22.54936375099018 -1.6990501303465295e-09,114.05100213389123 22.549361515179957 -1.2517711194792422e-09,114.05090493410124 22.54935913658239 -8.177395614664406e-10,114.05080775450266 22.54935672992063 -4.3701962243423493e-10,114.05067768382943 22.549353839586672 -8.060396794058209e-11)"
31,3503,3128_-1__1,3122_-1__1,9729,"LINESTRING(114.04990808517455 22.543037076691334 8.446254480531934e-05,114.04978438228436 22.543113810490567 0.0002120037406143658)"
32,3509,3128_-1__1,3115_-1__2,9729,"LINESTRING(114.04990808517455 22.543037076691334 8.446254480531934e-05,114.04975355384543 22.54305286063506 2.2591604922108906e-09)"
33,3512,3128_-1__1,3115_-1__1,9729,"LINESTRING(114.04990808517455 22.543037076691334 8.446254480531934e-05,114.04975395224726 22.543025546422943 2.405190381184045e-09)"
34,3518,3143_-1__4,3134_-1__4,9728,"LINESTRING(114.05044319807008 22.54270124889122 -5.933486590947723e-09,114.05031203005687 22.542697162179984 4.584023827192147e-09)"
35,3518,3143_-1__3,3134_-1__3,9728,"LINESTRING(114.05044391872735 22.542667728073457 -5.933486590947723e-09,114.05031271702599 22.54266504652561 4.584023827192147e-09)"
36,3518,3143_-1__2,3134_-1__2,9728,"LINESTRING(114.05044463233654 22.542634535075017 -5.933486590947723e-09,114.05031342601447 22.542631901453696 4.584023827192147e-09)"
37,3518,3143_-1__1,3134_-1__1,9728,"LINESTRING(114.05044535091857 22.542601110751747 -5.933486590947723e-09,114.05031413839504 22.54259859778842 4.584023827192147e-09)"
38,3527,3174_-1__5,3143_-1__5,9727,"LINESTRING(114.05103505866494 22.542744216900793 -4.783942131325603e-10,114.05089891782897 22.542741248522344 -2.6964812605001506e-09)"
39,3527,3174_-1__4,3143_-1__4,9727,"LINESTRING(114.05103564222682 22.542712615429803 -4.783942131325603e-10,114.05089951936117 22.542709647342402 -2.6964812605001506e-09)"
40,3527,3174_-1__3,3143_-1__3,9727,"LINESTRING(114.05103624578263 22.542679931217044 -4.783942131325603e-10,114.05090013628643 22.54267723748006 -2.6964812605001506e-09)"
41,3527,3174_-1__2,3143_-1__2,9727,"LINESTRING(114.05103686483507 22.542646407804433 -4.783942131325603e-10,114.05090077244566 22.54264381715507 -2.6964812605001506e-09)"
42,3527,3174_-1__1,3143_-1__1,9727,"LINESTRING(114.05103749203266 22.54261244329114 -4.783942131325603e-10,114.05090141658788 22.542609977431553 -2.6964812605001506e-09)"
43,3534,4877_-1__2,3273_-1__2,9730,"LINESTRING(114.05097289374073 22.542201528241243 0.000931425668625252,114.05097314831664 22.542133821397066 0.00121635185935546)"
44,3534,4877_-1__1,3273_-1__1,9730,"LINESTRING(114.05101364046232 22.542201899022352 0.000931425668625252,114.05101301829144 22.542134172192313 0.00121635185935546)"
45,3541,3273_-1__2,4623_-1__2,9731,"LINESTRING(114.05097885167615 22.541780465430804 0.0003867790571234764,114.05097592014106 22.541697863464517 0.00011924195052738604)"
