,link_id,link_dir,link_name,from_node_id,to_node_id,link_type,link_length,number_of_lanes,link_speed_limit,link_geometry,right_turn_lanes,left_turn_lanes,straight_turn_lanes,u_turn_lanes
0,1_-1,single,滨河大道,584_-1_1,1_-1_209,driving,47.61358712325943,8,Not Defined,"LINESTRING(114.04611270210127 22.53125697976783 -0.9084530577716334,114.04620983330214 22.531257171148155 -0.9088590624611325,114.04630699346293 22.53125668013824 -0.9093959873437768,114.04640418063231 22.53125560503444 -0.9100590443067821,114.04657537767548 22.53125524203276 -0.9108405572123215)",0,0,8,0
1,1_1,single,滨河大道,1_1_209,584_1_1,driving,47.61358712325943,8,Not Defined,"LINESTRING(114.04657063829856 22.53152592884482 -0.8414971674375119,114.04639944023724 22.531520654146068 -0.8421593488500198,114.04630223731016 22.53151658037973 -0.8428147773989239,114.04620500225963 22.531513314599554 -0.8432394474712661,114.04610774344606 22.531510395170717 -0.8435313507691123)",0.0,0.0,8.0,0.0
2,62_-1,single,滨河大道,186_-1_62,62_-1_259,driving,24.379626868324237,8,Not Defined,"LINESTRING(114.04462764706543 22.531217306369843 -0.9091366436331209,114.04472399566218 22.531223033240202 -0.9083542639460164,114.0448623936201 22.53123036744767 -0.9074225012808504)",0,0,8,0
3,62_1,single,滨河大道,62_1_259,186_1_62,driving,24.379626868324237,8,Not Defined,"LINESTRING(114.0448484136417 22.531478102199813 -0.8438919671573415,114.04470764303213 22.531470642606102 -0.8448378760617102,114.04460993826882 22.531464835223435 -0.845630341511642)",0.0,0.0,8.0,0.0
4,85_-1,single,滨河大道,85,85_-1_186,driving,299.3509476311229,7,Not Defined,"LINESTRING(114.04140568206242 22.531018295378214 -0.9255918268236673,114.04141926107499 22.53090930709381 -0.953592191674059,114.04151579782932 22.53091967653678 -0.9522130597888183,114.04161233877089 22.530930026290534 -0.9508239252137386,114.04170888373687 22.530940357669028 -0.94942440512474,114.04180543256444 22.53095067198632 -0.9480141209200658,114.04190198509073 22.530960970556528 -0.9465926911830744,114.04199854115286 22.530971254693846 -0.9451597344971221,114.04209510058799 22.53098152571252 -0.9437148694455636,114.04219166323324 22.530991784926897 -0.942257714611752,114.04228822892574 22.53100203365137 -0.940787887171597,114.0423847975026 22.531012273200428 -0.9393050127456564,114.04248136880095 22.53102250488858 -0.937808701472628,114.0425779426579 22.531032730030475 -0.9362985789730658,114.0426745189119 22.53104294992958 -0.9347742638303133,114.04277109739965 22.531053165904172 -0.9332353760351543,114.04286767795749 22.53106337927499 -0.931681528541163,114.04296426042342 22.531073591350143 -0.9301123469688857,114.04306084463556 22.53108380343507 -0.9285274484942163,114.04315743043048 22.531094016849902 -0.9269264545153731,114.04325401764457 22.531104232914817 -0.9253089793933635,114.04335060611433 22.531114452950032 -0.9236746431189601,114.04344719567762 22.531124678263968 -0.9220230642754906,114.04354378617485 22.531134910144957 -0.9203538642611632,114.04364036378705 22.531145148306834 -0.9186669515922116,114.0437366094226 22.531155215513373 -0.9170046156597335,114.04383281668402 22.531164979213717 -0.9154035653507611,114.0439289882057 22.531174380358365 -0.9138789137712593,114.04402512660783 22.531183360041958 -0.9124457374337732,114.04412123450628 22.53119185950452 -0.911119081887186,114.04430713556026 22.531206724809305 -0.908910249214630)",7.0,0.0,0.0,0.0
5,85_1,single,滨河大道,85_1_186,85,driving,299.3509476311229,7,Not Defined,"LINESTRING(114.04428791002248 22.53143155800926 -0.8512013814463317,114.0440990142368 22.531415493637226 -0.8536917742818136,114.04400160051063 22.531406414701646 -0.8551553823812368,114.04390427042414 22.531397322660794 -0.8566066781789093,114.0438070656113 22.53138782866378 -0.8581457054279696,114.04370998370804 22.531377988064378 -0.8597583531201729,114.04361302247935 22.531367856029608 -0.8614305524705692,114.0435164392019 22.531357621582483 -0.8631164856305431,114.04341986711219 22.531347395589773 -0.8647843767941311,114.04332329257403 22.531337174740802 -0.8664349859797523,114.0432267154732 22.531326959978234 -0.8680681105158944,114.04313013594131 22.531316750242436 -0.8696840670769378,114.04303355426869 22.53130654317739 -0.871283503085998,114.0429369707456 22.531296336427005 -0.872867063151303,114.04284038566227 22.531286127634985 -0.8744354003257289,114.04274379884689 22.53127591821683 -0.8759881908977935,114.04264721055561 22.531265706093887 -0.8775260062887644,114.04255062128442 22.531255487234525 -0.8790499330434715,114.04245403082821 22.531245263324426 -0.8805595742634739,114.0423574393242 22.53123503325634 -0.8820552606975508,114.04226084695458 22.531224795555005 -0.8835374089484047,114.04216425390167 22.531214548745133 -0.8850064440633865,114.04206766034774 22.531204291351326 -0.8864627854600776,114.0419710664752 22.531194021898163 -0.8879068539635,114.04187447246649 22.5311837389101 -0.8893390732135568,114.04177787850425 22.53117344091158 -0.8907598612203822,114.04168128477117 22.53116312642698 -0.8921696416238757,114.0415846914502 22.5311527939806 -0.8935688394713761,114.0414880987244 22.53114244209671 -0.8949578699581288,114.04139150677713 22.531132069299495 -0.8963371581314694,114.04140568206242 22.531018295378214 -0.9255918268236673)",0.0,0.0,7.0,0.0
6,85_1,single,滨河大道,85_1_186,85,driving,299.3509476311229,7,Not Defined,"LINESTRING(114.0399470201439 22.52856261785746 -1.5262318334334852,114.03959605743246 22.528532624081954 -1.5281534123896081,114.03941507992987 22.52851568555035 -1.529430914712321,114.0392342603771 22.52849878861866 -1.5306447711379105,114.03905368246579 22.52848114700473 -1.5319935757888803,114.0388733418643 22.528462862838484 -1.5334518948016747,114.03869323449854 22.528444037881005 -1.5349944040932424,114.03851386963464 22.528425026086666 -1.5365418745998973,114.03833452694701 22.528406029999456 -1.538031155856709,114.03815517955289 22.52838704319932 -1.5394634568554522,114.03797582720071 22.528368067757636 -1.5408383244004173,114.03779647013064 22.52834910174179 -1.5421563299128052,114.03761710890019 22.528330140628373 -1.543418689421697,114.03743774406657 22.528311179893787 -1.5446266189561626,114.03725837618707 22.52829221501404 -1.5457813415824704,114.03707900489495 22.528273249005622 -1.5468821690622703,114.0368996306795 22.528254277899684 -1.5479301794954163,114.03672025450918 22.52823529382348 -1.548927440412633,114.03654087595102 22.52821630033247 -1.5498731270538009,114.0363614952561 22.52819729540029 -1.5507678291367968,114.03618211276579 22.528178276264352 -1.5516123179393557,114.03600272882147 22.5281592401619 -1.5524073703689716,114.03582334376466 22.52814018433011 -1.5531537605182488,114.03564395793697 22.528121106005948 -1.5538522610723455,114.03546457168027 22.528102002426284 -1.554503644716415,114.03528518533658 22.52808287082789 -1.5551086883579277,114.03510579924824 22.52806370844739 -1.555668163274586,114.03492641375804 22.528044512521316 -1.5561828477812918,114.03474702920906 22.52802528028609 -1.5566535117482956,114.03456764594483 22.528006008978046 -1.5570809320830494,114.04140568206242 22.531018295378214 -0.9255918268236673)",0.0,0.0,7.0,0.0
7,85_1,single,滨河大道,85_1_186,85,driving,299.3509476311229,7,Not Defined,"LINESTRING(114.03560630866818 22.525693559038142 -2.154103454646544,114.03509328659717 22.52564962694443 -2.1529242940679705,114.0348287492895 22.52562482409204 -2.152668299500256,114.03456444425403 22.525600117462403 -2.152275683262339,114.03430049726516 22.525574323344383 -2.1520398586405878,114.03403690202178 22.525547590644337 -2.1519246389392475,114.03377365260847 22.52552006771771 -2.151893986651331,114.03351151025937 22.525492273466394 -2.1518413993756127,114.03324940109503 22.525464502090536 -2.15166771027238,114.03298728498699 22.525436744059867 -2.1513743267819043,114.03272516154627 22.52540900257447 -2.1509605634812177,114.03246303112161 22.52538127482876 -2.1504272282414116,114.03220089453781 22.525353554131897 -2.14977608317802,114.03193875261923 22.525325833792856 -2.149008898851202,114.03167660619039 22.52529810711993 -2.148127443006218,114.0314144546895 22.52527037873058 -2.147130681174851,114.0311522988391 22.525242642765757 -2.146020174208621,114.03089014008052 22.525214887511652 -2.144798934029887,114.0306279777527 22.525187118393458 -2.1434657277213223,114.0303658122208 22.52515933246573 -2.1420213913026958,114.03010364398538 22.525131525678535 -2.140467040874366,114.02984147354715 22.525103693981713 -2.1388037854994746,114.02957930140686 22.52507583332493 -2.1370327426857965,114.0293171280656 22.52504793965763 -2.1351550243113295,114.02905495402466 22.525020008929065 -2.133171740846622,114.02879277978576 22.52499203708836 -2.1310840097994146,114.02853060585105 22.5249640200844 -2.128892943047674,114.02826843272324 22.52493595386595 -2.126599652469358,114.0280062609056 22.524907834381626 -2.1242052541647363,114.0277440909021 22.524879657579874 -2.121710858604308,114.04140568206242 22.531018295378214 -0.9255918268236673)",0.0,0.0,7.0,0.0
8,85_1,single,滨河大道,85_1_186,85,driving,299.3509476311229,7,Not Defined,"LINESTRING(114.03126577563413 22.52282438161524 -2.7348162040726534,114.03059070177503 22.52276650229282 -2.7280043862801824,114.03024260863646 22.522733830397172 -2.7248674993331954,114.02989482210485 22.522701309264818 -2.72149937981769,114.02954751006249 22.52266735775789 -2.718284524766751,114.02920066423675 22.522632171559515 -2.715176540747851,114.02885427686877 22.522595945619774 -2.7121292637410845,114.02850936113904 22.52255936380428 -2.709015016468482,114.0281644896228 22.522522811948203 -2.705693999335254,114.0278196089466 22.522486277410287 -2.7021675606680753,114.02747471858393 22.52244976451928 -2.6984347884463507,114.02712981899218 22.522413269596587 -2.6944967143236087,114.02678491126356 22.52237678378406 -2.69035564087136,114.02643999648977 22.522340298223128 -2.6860138579941153,114.02609507576273 22.522303804054467 -2.6814736612261094,114.02575014832553 22.52226730749645 -2.67673368112867,114.02540521513401 22.522230800799875 -2.671795944414987,114.02506027810277 22.522194268409866 -2.6666643693971324,114.02471533634252 22.522157717621344 -2.6613373304823105,114.02437039033256 22.522121144569777 -2.655815901546963,114.02402544073284 22.522084543917906 -2.650101522401819,114.02368048820341 22.522047910328173 -2.6441956342650217,114.02333553340456 22.522011238462742 -2.6380996755398067,114.02299057699689 22.521974522983548 -2.6318150846293844,114.02264561964134 22.52193775855224 -2.6253433027518227,114.02230066199944 22.521900939830292 -2.6186857669028454,114.0219557047333 22.52186406147889 -2.6118439183004765,114.02161074850575 22.52182711815903 -2.604819193940399,114.02126579398045 22.521790104531505 -2.5976130336331567,114.02092084182195 22.521753015256934 -2.590226878596719,114.04140568206242 22.531018295378214 -0.9255918268236673)",0.0,0.0,7.0,0.0
9,85_1,single,滨河大道,85_1_186,85,driving,299.3509476311229,7,Not Defined,"LINESTRING(114.02692542108053 22.51995508565271 -3.268370056888635,114.02608830301011 22.519883250195317 -3.253393660687523,114.0256566580177 22.519842704536195 -3.2460284869985774,114.02522539397951 22.519802364098645 -3.2383158305049102,114.02479472091078 22.519760250320417 -3.2307275337644348,114.02436462856544 22.519716605661625 -3.2232075750730838,114.02393510733899 22.519671671667297 -3.2157002029546558,114.02350742233669 22.519626297182942 -3.208062694671032,114.02307979259686 22.51958095965768 -3.200109986011101,114.0226521515019 22.519535643338422 -3.191843119885127,114.02222449838767 22.51949035368257 -3.183260956266781,114.02179683382023 22.519445086138596 -3.174364756220816,114.02136915915943 22.519399829680914 -3.1651573219577664,114.02094147576442 22.519354573283547 -3.1556414570955416,114.02051378499465 22.519309305919478 -3.145819955399909,114.02008608589799 22.519264035408014 -3.1356911279428625,114.01965837966384 22.519218752109815 -3.1252574433715714,114.01923066868024 22.519173436628964 -3.11452369964498,114.01880295182967 22.519128098130075 -3.103487884123843,114.01837522970561 22.519082731829567 -3.0921513057252636,114.01794750312753 22.519037331102822 -3.0805157167096247,114.01751977291504 22.518991889324916 -3.0685828679298113,114.017092039888 22.518946399870533 -3.056354510238655,114.0166643048667 22.518900856114083 -3.0438323973038144,114.01623656867193 22.51885525142966 -3.031018277163137,114.01580883212517 22.51880957919104 -3.0179139077065043,114.01538109604861 22.518763832771754 -3.0045210355642316,114.01495336126547 22.51871800554506 -2.990841412996351,114.01452562859993 22.518672090883936 -2.976876792262854,114.0140978988773 22.51862608216117 -2.9626289270311346,114.04140568206242 22.531018295378214 -0.9255918268236673)",0.0,0.0,7.0,0.0
